ticker,slippage,commission,strategy_type,signal_lookback,bb_pctb_threshold,ev,ev_decomp,total_return,win_rate,hit_rate,sharpe,sortino,profit_factor,omega_ratio,calmar,cvar_5,avg_win,avg_loss,worst_day,n_signals,active_days_pct,gross_ev,total_friction,net_ev,p_value,sharpe_ci_lo,sharpe_ci_hi,sub_metrics.train.ev,sub_metrics.train.ev_decomp,sub_metrics.train.total_return,sub_metrics.train.win_rate,sub_metrics.train.hit_rate,sub_metrics.train.sharpe,sub_metrics.train.sortino,sub_metrics.train.profit_factor,sub_metrics.train.omega_ratio,sub_metrics.train.calmar,sub_metrics.train.cvar_5,sub_metrics.train.avg_win,sub_metrics.train.avg_loss,sub_metrics.train.worst_day,sub_metrics.train.n_signals,sub_metrics.train.active_days_pct,sub_metrics.test.ev,sub_metrics.test.ev_decomp,sub_metrics.test.total_return,sub_metrics.test.win_rate,sub_metrics.test.hit_rate,sub_metrics.test.sharpe,sub_metrics.test.sortino,sub_metrics.test.profit_factor,sub_metrics.test.omega_ratio,sub_metrics.test.calmar,sub_metrics.test.cvar_5,sub_metrics.test.avg_win,sub_metrics.test.avg_loss,sub_metrics.test.worst_day,sub_metrics.test.n_signals,sub_metrics.test.active_days_pct,sub_metrics.bull.ev,sub_metrics.bull.ev_decomp,sub_metrics.bull.total_return,sub_metrics.bull.win_rate,sub_metrics.bull.hit_rate,sub_metrics.bull.sharpe,sub_metrics.bull.sortino,sub_metrics.bull.profit_factor,sub_metrics.bull.omega_ratio,sub_metrics.bull.calmar,sub_metrics.bull.cvar_5,sub_metrics.bull.avg_win,sub_metrics.bull.avg_loss,sub_metrics.bull.worst_day,sub_metrics.bull.n_signals,sub_metrics.bull.active_days_pct,sub_metrics.covid.ev,sub_metrics.covid.win_rate,sub_metrics.covid.sharpe,sub_metrics.covid.hit_rate,sub_metrics.covid.avg_win,sub_metrics.covid.avg_loss,sub_metrics.covid.worst_day,sub_metrics.covid.n_signals,sub_metrics.covid.active_days_pct,sub_metrics.recovery.ev,sub_metrics.recovery.ev_decomp,sub_metrics.recovery.total_return,sub_metrics.recovery.win_rate,sub_metrics.recovery.hit_rate,sub_metrics.recovery.sharpe,sub_metrics.recovery.sortino,sub_metrics.recovery.profit_factor,sub_metrics.recovery.omega_ratio,sub_metrics.recovery.calmar,sub_metrics.recovery.cvar_5,sub_metrics.recovery.avg_win,sub_metrics.recovery.avg_loss,sub_metrics.recovery.worst_day,sub_metrics.recovery.n_signals,sub_metrics.recovery.active_days_pct,sub_metrics.bear.ev,sub_metrics.bear.ev_decomp,sub_metrics.bear.total_return,sub_metrics.bear.win_rate,sub_metrics.bear.hit_rate,sub_metrics.bear.sharpe,sub_metrics.bear.sortino,sub_metrics.bear.profit_factor,sub_metrics.bear.omega_ratio,sub_metrics.bear.calmar,sub_metrics.bear.cvar_5,sub_metrics.bear.avg_win,sub_metrics.bear.avg_loss,sub_metrics.bear.worst_day,sub_metrics.bear.n_signals,sub_metrics.bear.active_days_pct,sub_metrics.rally.ev,sub_metrics.rally.ev_decomp,sub_metrics.rally.total_return,sub_metrics.rally.win_rate,sub_metrics.rally.hit_rate,sub_metrics.rally.sharpe,sub_metrics.rally.sortino,sub_metrics.rally.profit_factor,sub_metrics.rally.omega_ratio,sub_metrics.rally.calmar,sub_metrics.rally.cvar_5,sub_metrics.rally.avg_win,sub_metrics.rally.avg_loss,sub_metrics.rally.worst_day,sub_metrics.rally.n_signals,sub_metrics.rally.active_days_pct,rsi_threshold,sub_metrics.covid.ev_decomp,sub_metrics.covid.total_return,sub_metrics.covid.sortino,sub_metrics.covid.profit_factor,sub_metrics.covid.omega_ratio,sub_metrics.covid.calmar,sub_metrics.covid.cvar_5,ema_disc_threshold,stoch_threshold,min_confirms
TTD,0.0005,0.0,bb_bounce,10,0.1,0.018486282084488683,0.018486282084488687,0.565569174450546,0.76,0.76,10.248139627553899,43.92158816054067,7.0223737032000715,7.0223737032000715,149.71120028490293,-0.01973397829630435,0.02836300356537061,-0.01279000260497074,-0.01999826861716949,25,0.012007684918347743,0.019486282084488684,0.001,0.018486282084488683,3.110964818763454e-45,5.565218287111836,15.912202784516065,0.006151062305971069,0.00615106230597107,0.06157990316155226,0.6,0.6,5.4906536960203844,14.742009660214977,2.1969560384188953,2.1969560384188953,49.81439299938188,-0.01999826861716949,0.018816638542610474,-0.012847302048988036,-0.01999826861716949,10,0.00927643784786642,0.026709761936833762,0.026709761936833762,0.4747539679189807,0.8666666666666667,0.8666666666666667,13.497948649068595,62.4060327539231,16.80408947910612,16.80408947910612,345.70970097584643,-0.01946968797543921,0.0327690181912599,-0.01267540371693615,-0.01946968797543921,15,0.014940239043824702,0.006151062305971069,0.00615106230597107,0.06157990316155226,0.6,0.6,5.4906536960203844,14.742009660214977,2.1969560384188953,2.1969560384188953,49.81439299938188,-0.01999826861716949,0.018816638542610474,-0.012847302048988036,-0.01999826861716949,10,0.012121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.012229711191329073,0.012229711191329073,0.08821840014040139,0.8571428571428571,0.8571428571428571,15.338909286429343,0.0,15.556408681096936,15.556408681096936,524.0307125194967,-0.005881119458433088,0.015248182966289435,-0.005881119458433088,-0.005881119458433088,7,0.027777777777777776,0.056197474166245175,0.056197474166245175,0.23969639113661478,0.75,0.75,19.555154483373876,0.0,12.545634267408424,12.545634267408424,727.3749588467318,-0.01946968797543921,0.08141986154680664,-0.01946968797543921,-0.01946968797543921,4,0.01593625498007968,0.02256213851205555,0.02256213851205555,0.09317117477776438,1.0,1.0,38.82235149664891,0.0,999.0,999.0,999.0,0.012588803502699888,0.02256213851205555,0.0,0.012588803502699888,4,0.007984031936127744,,,,,,,,,,,
EBAY,0.0005,0.0,rsi_reversal,10,,0.0075452325749040365,0.0075452325749040365,0.17759559700581784,0.6363636363636364,0.6363636363636364,9.049488324806973,28.23518350848129,3.8495945542110688,3.8495945542110688,121.26433528696585,-0.012505894817922351,0.01601766459144219,-0.007281523454037734,-0.01567978420346151,22,0.00874751491053678,0.008545232574904037,0.001,0.0075452325749040365,4.995414899890433e-40,2.475931749513749,18.168333506982094,0.005548731919048574,0.0055487319190485745,0.06186158269938691,0.5454545454545454,0.5454545454545454,7.044562184957625,31.791715162015972,3.496009932120264,3.496009932120264,153.63307930562527,-0.009101428220537031,0.014248249986934932,-0.004890689762415053,-0.009101428220537031,11,0.00727994705493051,0.009541733230759498,0.0095417332307595,0.1089916201810599,0.7272727272727273,0.7272727272727273,11.104698567844542,48.412169007151626,4.1054136693272865,4.1054136693272865,153.35139456961153,-0.01567978420346151,0.017344725544822637,-0.011266246273408867,-0.01567978420346151,11,0.010956175298804782,0.005548731919048574,0.0055487319190485745,0.06186158269938691,0.5454545454545454,0.5454545454545454,7.044562184957625,31.791715162015972,3.496009932120264,3.496009932120264,153.63307930562527,-0.009101428220537031,0.014248249986934932,-0.004890689762415053,-0.009101428220537031,11,0.008744038155802861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.005702515151823752,0.005702515151823751,0.017046168426340547,0.6666666666666666,0.6666666666666666,8.83541731331246,0.0,2.9469266404633987,2.9469266404633987,163.54183779892477,-0.008786949184381901,0.012947247319926579,-0.008786949184381901,-0.008786949184381901,3,0.011904761904761904,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0,0.0,0.010981440010360402,0.010981440010360404,0.09040440307344655,0.75,0.75,12.062332627318648,54.92471055323687,4.512404404560566,4.512404404560566,176.4898576856633,-0.01567978420346151,0.01881055161978799,-0.012505894817922351,-0.01567978420346151,8,0.015968063872255488,25.0,,,,,,,,,,
MDLZ,0.0005,0.0,bb_bounce,10,0.05,0.004450973282637997,0.004450973282637997,0.07312266655537591,0.625,0.625,9.02742748295462,28.181444277402232,4.3524876948523294,4.3524876948523294,125.16202422043158,-0.008217543885632742,0.009245817771701833,-0.0035404341991350625,-0.008217543885632742,16,0.006361829025844931,0.005450973282637997,0.001,0.004450973282637997,6.228458623412297e-40,1.9367447138526086,17.422132661747245,0.0012589661990520902,0.0012589661990520897,0.009953378976878424,0.5,0.5,3.1426264383241893,6.95498286594804,1.6202189640341527,1.6202189640341527,35.40231493033613,-0.008217543885632742,0.0065776799132825905,-0.004059747515178411,-0.008217543885632742,8,0.005294506949040371,0.007642980366223904,0.007642980366223903,0.06254673620923978,0.75,0.75,15.446062209298129,142.4186895887078,13.219933246490415,13.219933246490415,1167.3672273058153,-0.0033537221036632763,0.011024576343981326,-0.002501807567048365,-0.0033537221036632763,8,0.00796812749003984,0.0012589661990520902,0.0012589661990520897,0.009953378976878424,0.5,0.5,3.1426264383241893,6.95498286594804,1.6202189640341527,1.6202189640341527,35.40231493033613,-0.008217543885632742,0.0065776799132825905,-0.004059747515178411,-0.008217543885632742,8,0.006359300476947536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0,0.0,0.00543964603855505,0.005439646038555051,0.02730298932856212,0.6,0.6,9.889561755501294,101.36193258601394,6.435715870198552,6.435715870198552,830.836167212397,-0.0033537221036632763,0.01073394844229066,-0.002501807567048365,-0.0033537221036632763,5,0.0199203187250996,0.011315204245671992,0.011315204245671992,0.0343070615454093,1.0,1.0,45.05971999665861,0.0,999.0,999.0,999.0,0.0065323249839747835,0.011315204245671992,0.0,0.0065323249839747835,3,0.005988023952095809,,,,,,,,,,,
DELL,0.0005,0.0,rsi_reversal,20,,0.0070119580674094135,0.0070119580674094135,0.16410473934845893,0.7272727272727273,0.7272727272727273,8.693033892117908,25.055763911604878,4.521915538481633,4.521915538481633,83.96608325480574,-0.012108348946245335,0.012378998719989528,-0.007300150339470894,-0.013394818046663249,22,0.010446343779677113,0.008011958067409414,0.001,0.0070119580674094135,1.7645480805653084e-38,2.670724094439707,15.86698040567021,0.001668227304110085,0.0016682273041100852,0.023077323007253847,0.6428571428571429,0.6428571428571429,3.0615711813460433,5.709417191475946,1.6972860529020224,1.6972860529020224,19.976518877928548,-0.013394818046663249,0.006316620933997628,-0.006698881229687492,-0.013394818046663249,14,0.012704174228675136,0.01636348690318324,0.01636348690318324,0.1378462929142703,0.875,0.875,19.226944426199008,0.0,13.701493955181883,13.701493955181883,400.09705958822803,-0.010306495888387907,0.020173484444836264,-0.010306495888387907,-0.010306495888387907,8,0.00796812749003984,0.001668227304110085,0.0016682273041100852,0.023077323007253847,0.6428571428571429,0.6428571428571429,3.0615711813460433,5.709417191475946,1.6972860529020224,1.6972860529020224,19.976518877928548,-0.013394818046663249,0.006316620933997628,-0.006698881229687492,-0.013394818046663249,14,0.016489988221436984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0,0.0,0.01636348690318324,0.01636348690318324,0.1378462929142703,0.875,0.875,19.226944426199008,0.0,13.701493955181883,13.701493955181883,400.09705958822803,-0.010306495888387907,0.020173484444836264,-0.010306495888387907,-0.010306495888387907,8,0.015968063872255488,30.0,,,,,,,,,,
NOW,0.0005,0.0,rsi_reversal,10,,0.010123764975761113,0.010123764975761115,0.18336617955322065,0.7058823529411765,0.7058823529411765,8.639856829008403,25.975626233572974,3.8331655061236196,3.8331655061236196,71.77662074162555,-0.023870494444842787,0.019404182719127614,-0.012149237608318495,-0.023870494444842787,17,0.006759443339960238,0.01259642338650862,0.001,0.010123764975761113,3.0031605287200755e-38,1.0820331933291338,17.455964645816312,0.01112315880515087,0.01112315880515087,0.10250004465927498,0.6666666666666666,0.6666666666666666,8.32457008564188,22.376485757312942,3.6080329971337775,3.6080329971337775,117.42681013059631,-0.023870494444842787,0.023082179584450756,-0.0127948827534489,-0.023870494444842787,9,0.005956320317670417,0.008999446917697636,0.008999446917697638,0.07334796518664755,0.75,0.75,9.488403836359929,167.34768173895986,4.219616182332957,4.219616182332957,219.60312159326187,-0.012034452411967725,0.01572618585380448,-0.01118076989062289,-0.012034452411967725,8,0.00796812749003984,0.01112315880515087,0.01112315880515087,0.10250004465927498,0.6666666666666666,0.6666666666666666,8.32457008564188,22.376485757312942,3.6080329971337775,3.6080329971337775,117.42681013059631,-0.023870494444842787,0.023082179584450756,-0.0127948827534489,-0.023870494444842787,9,0.007154213036565978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0027053194424024817,0.0027053194424024804,0.013199877578718766,0.6,0.6,3.4070178292120965,50.306306730815656,1.6049045523849355,1.6049045523849355,66.01478956336992,-0.012034452411967725,0.011962712331086062,-0.01118076989062289,-0.012034452411967725,5,0.01984126984126984,0.019489659376522892,0.019489659376522892,0.0593644836906877,1.0,1.0,24.185599336196454,0.0,999.0,999.0,999.0,0.0018038578464746467,0.019489659376522892,0.0,0.0018038578464746467,3,0.01195219123505976,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0,0.0,25.0,,,,,,,,,,
GOOGL,0.0005,0.0,rsi_reversal,3,,0.005645901031565119,0.005645901031565117,0.10539604930653357,0.6666666666666666,0.6666666666666666,7.884475750851519,27.374174515015653,4.641156683411718,4.641156683411718,123.59230466098369,-0.010813046369929413,0.010794720023683738,-0.004651736952672123,-0.010813046369929413,18,0.007157057654075547,0.006112098957157856,0.001,0.005645901031565119,5.73002988517808e-35,2.3134237370276827,15.454446781090496,0.006191596496468776,0.006191596496468776,0.0693142054557665,0.6363636363636364,0.6363636363636364,7.665435189990717,63.5666470455333,5.155178687915931,5.155178687915931,145.69625449051833,-0.0066015980766419066,0.012071224014352608,-0.004097751659827928,-0.0066015980766419066,11,0.00727994705493051,0.004788379586716513,0.004788379586716514,0.03374297626148892,0.7142857142857143,0.7142857142857143,8.914428762450088,15.042167554986836,3.9097533931867487,3.9097533931867487,104.82062391905593,-0.010813046369929413,0.009007614436747323,-0.005759707538360512,-0.010813046369929413,7,0.0069721115537848604,0.006191596496468776,0.006191596496468776,0.0693142054557665,0.6363636363636364,0.6363636363636364,7.665435189990717,63.5666470455333,5.155178687915931,5.155178687915931,145.69625449051833,-0.0066015980766419066,0.012071224014352608,-0.004097751659827928,-0.0066015980766419066,11,0.008744038155802861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0,0.0,0.004788379586716513,0.004788379586716514,0.03374297626148892,0.7142857142857143,0.7142857142857143,8.914428762450088,15.042167554986836,3.9097533931867487,3.9097533931867487,104.82062391905593,-0.010813046369929413,0.009007614436747323,-0.005759707538360512,-0.010813046369929413,7,0.013972055888223553,25.0,,,,,,,,,,
VICI,0.0005,0.0,rsi_reversal,10,,0.00416599286740814,0.0041659928674081395,0.1597930104718961,0.6388888888888888,0.6388888888888888,7.404174562473573,17.911413048526335,3.1854009050575254,3.1854009050575254,60.91462927721044,-0.01064171446179271,0.009504431988645121,-0.005278937885549595,-0.012082143064077195,36,0.020454545454545454,0.00516599286740814,0.001,0.00416599286740814,6.983585341015083e-33,2.5337588581928,12.983558428717204,0.003159381714708419,0.0031593817147084185,0.07110867730485593,0.5909090909090909,0.5909090909090909,6.254486018421541,16.044167156212193,2.5503962751091804,2.5503962751091804,46.19608626848047,-0.008654526516628888,0.008795213331855357,-0.004981263954503826,-0.009201285859508225,22,0.0291005291005291,0.005747810393079131,0.005747810393079131,0.08279676474117381,0.7142857142857143,0.7142857142857143,9.124172599141952,19.60006487633713,4.381801413652655,4.381801413652655,116.60129382142937,-0.012082143064077195,0.010426416242471813,-0.0059487042304025755,-0.012082143064077195,14,0.013944223107569721,0.003159381714708419,0.0031593817147084185,0.07110867730485593,0.5909090909090909,0.5909090909090909,6.254486018421541,16.044167156212193,2.5503962751091804,2.5503962751091804,46.19608626848047,-0.008654526516628888,0.008795213331855357,-0.004981263954503826,-0.009201285859508225,22,0.0437375745526839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0,0.0,0.005747810393079131,0.005747810393079131,0.08279676474117381,0.7142857142857143,0.7142857142857143,9.124172599141952,19.60006487633713,4.381801413652655,4.381801413652655,116.60129382142937,-0.012082143064077195,0.010426416242471813,-0.0059487042304025755,-0.012082143064077195,14,0.027944111776447105,30.0,,,,,,,,,,
GOOG,0.0005,0.0,rsi_reversal,3,,0.004617422919929483,0.004617422919929482,0.12066348731013266,0.6,0.6,7.262641674669068,20.919660968797487,4.047257664208483,4.047257664208483,73.55445171601359,-0.010419530127140059,0.010221157491359609,-0.0037881789372157066,-0.011118936033553906,25,0.009940357852882704,0.005551648297789481,0.001,0.004617422919929483,2.875729062674511e-32,1.794656045667174,13.250021561221885,0.0050172111327421755,0.0050172111327421755,0.09312121869646162,0.5555555555555556,0.5555555555555556,7.303228043994331,29.61375788794519,4.48183203307852,4.48183203307852,79.92298310373661,-0.009720124220726212,0.011624723778765611,-0.00324217967478712,-0.009720124220726212,18,0.011912640635340834,0.0035893960869825586,0.003589396086982558,0.025195987547030896,0.7142857142857143,0.7142857142857143,7.58044077638756,11.071022527223258,3.103569340878851,3.103569340878851,75.78672893497391,-0.011118936033553906,0.0074140249165476025,-0.005972175986930053,-0.011118936033553906,7,0.0069721115537848604,0.0050172111327421755,0.0050172111327421755,0.09312121869646162,0.5555555555555556,0.5555555555555556,7.303228043994331,29.61375788794519,4.48183203307852,4.48183203307852,79.92298310373661,-0.009720124220726212,0.011624723778765611,-0.00324217967478712,-0.009720124220726212,18,0.014308426073131956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0,0.0,0.0035893960869825586,0.003589396086982558,0.025195987547030896,0.7142857142857143,0.7142857142857143,7.58044077638756,11.071022527223258,3.103569340878851,3.103569340878851,75.78672893497391,-0.011118936033553906,0.0074140249165476025,-0.005972175986930053,-0.011118936033553906,7,0.013972055888223553,25.0,,,,,,,,,,
UNP,0.0005,0.0,rsi_reversal,20,,0.00759683047483421,0.007596830474834209,0.23112426871819558,0.6428571428571429,0.6428571428571429,7.05511325099355,13.943495829493441,3.983531000157253,3.983531000157253,56.256421701472114,-0.020563887832913963,0.015778132829480287,-0.007129513763528733,-0.03185293198103358,28,0.011133200795228629,0.00859683047483421,0.001,0.00759683047483421,2.291038877244869e-31,1.6785072487801005,13.656456951536462,0.01047304941412064,0.010473049414120642,0.15408981687543544,0.5714285714285714,0.5714285714285714,8.531348363933734,64.54892575639913,7.0163714672527515,7.0163714672527515,181.413430175749,-0.00833198783896294,0.02137416374596922,-0.004061769695010791,-0.00833198783896294,14,0.009265387160820648,0.004720611535547775,0.004720611535547776,0.0667490958817416,0.7142857142857143,0.7142857142857143,5.464468258779449,6.293782065478714,2.4084014551635295,2.4084014551635295,34.957304116807194,-0.03185293198103358,0.011301308096289143,-0.011731129866305645,-0.03185293198103358,14,0.013944223107569721,0.01047304941412064,0.010473049414120642,0.15408981687543544,0.5714285714285714,0.5714285714285714,8.531348363933734,64.54892575639913,7.0163714672527515,7.0163714672527515,181.413430175749,-0.00833198783896294,0.02137416374596922,-0.004061769695010791,-0.00833198783896294,14,0.011128775834658187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.005151697595882101,0.005151697595882102,0.056894852786838035,0.7272727272727273,0.7272727272727273,5.567537895849728,5.990967480491003,2.5051570134413135,2.5051570134413135,38.14960375810244,-0.03185293198103358,0.011789793666891417,-0.01254989192680941,-0.03185293198103358,11,0.04365079365079365,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0,0.0,0.0031399626476552502,0.0031399626476552507,0.009323768650135511,0.6666666666666666,0.6666666666666666,5.460853774066147,0.0,2.0156384585121576,2.0156384585121576,85.31363051502159,-0.009274843684794348,0.00934736581388005,-0.009274843684794348,-0.009274843684794348,3,0.005988023952095809,30.0,,,,,,,,,,
WRB,0.0005,0.0,rsi_reversal,3,,0.0044974506446802485,0.0044974506446802485,0.14236742787093837,0.7333333333333333,0.7333333333333333,7.04590842765058,16.336823587650382,3.596187322656313,3.596187322656313,69.6458210523919,-0.012450048926508929,0.008495154090451866,-0.006496233831191697,-0.016273159614370054,30,0.011928429423459244,0.005497450644680249,0.001,0.0044974506446802485,2.511935587377473e-31,1.8786893730471723,12.560341016458054,0.0034520015373703163,0.003452001537370319,0.059209023910153036,0.7058823529411765,0.7058823529411765,4.8709487133404865,12.144033477538185,2.496142096944931,2.496142096944931,53.45639126215859,-0.016273159614370054,0.008158965891544316,-0.00784471291264728,-0.016273159614370054,17,0.011250827266710787,0.005864576400393235,0.005864576400393236,0.07850990888823772,0.7692307692307693,0.7692307692307693,11.278731094195487,31.18687840999022,6.981300989395883,6.981300989395883,185.5027187093301,-0.00796685495059958,0.008898579929140924,-0.004248768695432392,-0.00796685495059958,13,0.012948207171314742,0.004206935273371449,0.004206935273371451,0.0684262713657744,0.75,0.75,5.978348031076692,13.287408480273765,3.1999472641155076,3.1999472641155076,65.14700980093893,-0.016273159614370054,0.008158965891544316,-0.0076491565811471485,-0.016273159614370054,16,0.012718600953895072,-0.008626938238647804,0.0,0.0,0.0,0.0,-0.008626938238647804,-0.008626938238647804,1,0.003952569169960474,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0,0.0,0.005864576400393235,0.005864576400393236,0.07850990888823772,0.7692307692307693,0.7692307692307693,11.278731094195487,31.18687840999022,6.981300989395883,6.981300989395883,185.5027187093301,-0.00796685495059958,0.008898579929140924,-0.004248768695432392,-0.00796685495059958,13,0.02594810379241517,25.0,-0.008626938238647804,-0.008626938238647797,0.0,0.0,0.0,999.0,-0.008626938238647804,,,
